known_status,reaction_id,mcid,pdg_identifier,title,reactant_names_aaa,product_names_aaa,reactant_electrinos,product_electrinos,electrino_delta,reactant_positrinos,product_positrinos,positrino_delta
u,k_plus_s010_127,321,S010.127/2025,K+ decay mode 46,u.ad2,u.au.d.ad.u.ad.ae2.e,44,44,0,50,50,0
u,k_plus_s010_25,321,S010.25/2025,K+ decay mode 47,u.ad2,u.ad.e2.ae,20,20,0,26,26,0
u,k_plus_s010_29,321,S010.29/2025,K+ decay mode 45,u.ad2,u.ad.ae2.e,20,20,0,26,26,0
u,k_plus_s010_34,321,S010.34/2025,K+ decay mode 44,u.ad2,ae2.v,8,8,0,14,14,0
u,k_plus_s010_35,321,S010.35/2025,K+ decay mode 54,u.ad2,ae2.av,8,8,0,14,14,0
u,k_plus_s010_45,321,S010.45/2025,K+ decay mode 49,u.ad2,d.au.ae2.ae,20,20,0,26,26,0
u,phi_1020_0_m004_1,333,M004.1/2025,phi(1020)0 decay mode 1,d2.ad2,u.ad2.au.d2,22,22,0,22,22,0
u,phi_1020_0_m004_17,333,M004.17/2025,phi(1020)0 decay mode 10,d2.ad2,u.au.d.ad.d2.ad2.ae.e,46,46,0,46,46,0
u,phi_1020_0_m004_195,333,M004.195/2025,phi(1020)0 decay mode 25,d2.ad2,u.au.d.ad.d2.ad2.u.au.d.ad.u.au.d.ad.hp,88,88,0,88,88,0
u,phi_1020_0_m004_196,333,M004.196/2025,phi(1020)0 decay mode 26,d2.ad2,ae2.e2.hp,16,16,0,16,16,0
u,phi_1020_0_m004_22,333,M004.22/2025,phi(1020)0 decay mode 21,d2.ad2,u.au.d.ad.u.au.d.ad.d2.ad2.hp,64,64,0,64,64,0
u,phi_1020_0_m004_255,333,M004.255/2025,phi(1020)0 decay mode 28,d2.ad2,u.au.d.ad.d2.ad2.u.ad.d.au,58,58,0,58,58,0
u,phi_1020_0_m004_257,333,M004.257/2025,phi(1020)0 decay mode 23,d2.ad2,d.ad2.ad.d2.hp,28,28,0,28,28,0
u,phi_1020_0_m004_4,333,M004.4/2025,phi(1020)0 decay mode 5,d2.ad2,u.au.d.ad.d2.ad2.hp,40,40,0,40,40,0
u,phi_1020_0_m004_6,333,M004.6/2025,phi(1020)0 decay mode 9,d2.ad2,ae2.e2,10,10,0,10,10,0
u,b0_s042_106,511,S042.106/2025,B0 decay mode 354,d.ad3,u.ad2.au.d2,22,22,0,22,22,0
u,b0_s042_162,511,S042.162/2025,B0 decay mode 355,d.ad3,d.ad2.ad.d2,22,22,0,22,22,0
